4.896610895792643525e+00, -1.121132500077178379e-01, 5.922388037045797082e-01
4.883217652638752959e+00, -2.246132212996994892e-01, 5.875294804573059082e-01
4.882047971089680694e+00, 2.244839436995486326e-01, 5.881575544675191614e-01
4.897780100504557588e+00, 1.122413326369707393e-01, 5.916108687718709680e-01
1.850024064381917244e+00, -5.652698437431998707e-02, 4.390414953231811523e-01
1.843092044194539314e+00, -1.884303279668604961e-02, 4.769987662633259906e-01
2.104042689005533706e+00, -3.708838983449899013e-02, 6.183347900708516809e-01
2.235534667968750000e+00, -2.678703066991753798e-02, 6.627655227979024621e-01
2.480192025502522934e+00, -2.710923304160435809e-01, 5.690054794152578088e-01
2.408305327097574722e+00, -3.210629721482594623e-01, 5.294840832551320764e-01
2.603288014729817856e+00, -3.664029637972514020e-01, 5.451507170995076867e-01
2.713186661402384292e+00, -3.009375780820846558e-01, 5.803454518318176270e-01
2.016357421875000000e+00, -1.399162312348683768e-01, 4.884561697642008649e-01
1.961333433787028069e+00, -1.219682494799296107e-01, 4.646042188008626117e-01
2.383143981297811020e+00, -2.484949678182601929e-01, 5.610588192939758301e-01
2.316297292709350586e+00, -2.622562597195307599e-01, 5.372654398282369348e-01
2.280251979827880859e+00, -3.087722758452097760e-01, 4.988120893637339459e-01
2.192105372746785630e+00, -2.431416014830271310e-01, 5.030774176120758057e-01
2.132589419682820786e+00, -2.369563132524490356e-01, 4.781080782413482666e-01
2.047113418579101562e+00, -1.859976152578989572e-01, 4.664027690887451172e-01
2.746061325073242188e+00, -3.730295924709518124e-02, 6.856601436932882043e-01
2.609621365865071763e+00, -3.730298035247869848e-02, 6.887507438659667969e-01
2.537336031595865737e+00, -7.060298941043659238e-02, 6.715440750122070312e-01
1.930269400278727288e+00, -8.462157721320788528e-02, 4.792308906714121686e-01
1.952140013376871819e+00, -4.693762433551759011e-02, 5.359029074509938928e-01
1.920473337173461914e+00, -1.884303192212162872e-02, 5.433481633663177490e-01
